,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
5788,TMEM214,ENSG00000119777,0.504815838865688,0.000386428527039606,0.0195373010979736,0.90640694849974,trans,Towards UnRx,Pt5,X10,1
5789,TMEM243,ENSG00000135185,-0.812977654338448,1.30503071042564e-07,-0.971889553373735,3.50245239142621e-14,cis,Towards UnRx,Pt5,X10,1
5790,TMEM248,ENSG00000106609,-0.742769419296437,1.10707004521442e-09,-0.893686937401199,5.24938817329717e-20,cis,Towards UnRx,Pt5,X10,1
5791,TMEM256,ENSG00000205544,0.507271847641269,7.35865622490426e-07,0.00364632760541876,0.987490266830929,trans,Towards UnRx,Pt5,X10,1
5792,TMEM40,ENSG00000088726,1.0622685319419,9.77326563662097e-11,0.275406822733916,0.0431038633277558,trans,Towards UnRx,Pt5,X10,1
5793,TMEM45A,ENSG00000181458,0.695698665836148,0.00061053077248991,0.419055488577577,0.0242460656462986,cis,Towards UnRx,Pt5,X10,1
5794,TMEM56,ENSG00000152078,-0.555648347999795,0.00737570074704278,-0.362094114550946,0.0261792971622182,trans,Towards UnRx,Pt5,X10,1
5795,TMPRSS2,ENSG00000184012,-0.552848007070855,0.00727892610966876,-0.773911807554547,3.01411745709182e-07,trans,Towards UnRx,Pt5,X10,1
5796,TMTC3,ENSG00000139324,-0.531167621167839,0.00368951628217303,0.295425246674071,0.0416841770753041,trans,Away from UnRx,Pt5,X10,1
5797,TMTC4,ENSG00000125247,0.957202879071068,1.15705893303173e-11,0.551375392405602,1.75918753100984e-07,cis,Towards UnRx,Pt5,X10,1
5798,TNFAIP2,ENSG00000185215,0.566736848951913,0.000657760339083458,-1.29082403321672,1.99428215501971e-21,trans,Away from UnRx,Pt5,X10,1
5799,TNFRSF18,ENSG00000186891,1.5773425411893,2.7809413261579e-27,1.01941662353593,1.87663631963056e-19,trans,Towards UnRx,Pt5,X10,1
5800,TNFRSF1A,ENSG00000067182,-0.730774738205016,6.37228283339938e-09,-0.36941453752025,0.00075341823215856,cis,Towards UnRx,Pt5,X10,1
5801,TNFSF10,ENSG00000121858,1.09797923510686,7.51107053163021e-11,-0.138562877829706,0.338521146697342,trans,Away from UnRx,Pt5,X10,1
5802,TNNT1,ENSG00000105048,0.712842887382836,0.00023251691540009,-0.462479204905147,0.00573109116947291,trans,Away from UnRx,Pt5,X10,1
5803,TNRC6A,ENSG00000090905,0.603765900635469,0.000120141353890674,-0.217617986631699,0.0972312154480203,cis,Away from UnRx,Pt5,X10,1
5804,TNS1,ENSG00000079308,-1.15003501392204,4.76921313746275e-10,-0.912298209030543,3.16934164834956e-08,trans,Towards UnRx,Pt5,X10,1
5805,TP53I13,ENSG00000167543,0.755941399457714,1.09910919328341e-08,0.57657320663543,1.78220694723508e-08,trans,Towards UnRx,Pt5,X10,1
5806,TPGS2,ENSG00000134779,-0.719580497001302,6.59714953796865e-10,0.221816427846426,0.0386061160437378,cis,Away from UnRx,Pt5,X10,1
5807,TPI1,ENSG00000111669,-0.549112477269727,1.44545914988225e-14,-0.336756272116678,2.77214044377499e-08,cis,Towards UnRx,Pt5,X10,1
5808,TPM1,ENSG00000140416,1.35208545164014,7.4170692206681e-24,1.11073415009785,1.18499352272836e-26,trans,Towards UnRx,Pt5,X10,1
5809,TRAF3IP3,ENSG00000009790,1.25718848681578,3.07831612597224e-15,1.00331492790745,2.87397446978986e-16,cis,Towards UnRx,Pt5,X10,1
5810,TRIM26,ENSG00000234127,0.691639875601415,6.80165572011816e-05,-0.158087964607222,0.257772077450782,cis,Away from UnRx,Pt5,X10,1
5811,TRIM27,ENSG00000204713,0.519546451726244,3.89765571330156e-05,-0.17818026549253,0.0974613574451473,cis,Away from UnRx,Pt5,X10,1
5812,TRIM37,ENSG00000108395,-0.617944225563682,1.3859671818022e-05,-0.0436864169467267,0.7775429085075,trans,Towards UnRx,Pt5,X10,1
5813,TRIM38,ENSG00000112343,0.867006331646757,7.82945596028726e-09,0.0241678492305553,0.889800190369987,cis,Towards UnRx,Pt5,X10,1
5814,TRIM39,ENSG00000204599,0.755245549138354,0.000280501855344628,0.00181667329334877,0.994633905968238,cis,Towards UnRx,Pt5,X10,1
5815,TRMT10C,ENSG00000174173,-0.509165405484142,1.83631641888224e-08,-0.43150335455006,3.29374592558776e-08,cis,Towards UnRx,Pt5,X10,1
5816,TROAP,ENSG00000135451,0.699789138646759,9.43155053072076e-05,0.757340616596879,1.77993843210908e-07,trans,Towards UnRx,Pt5,X10,1
