gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,F,G,H,I,J,ct,col,label,color
AIF1L,0.562866697037591,6.40103083176867,13.9067740399075,0.000219055697158329,0.00110323746863977,ENSG00000126878,0.580174349215605,6.78376131630685,20.1483479154003,8.12333641596924e-06,5.84831323009735e-05,ENSG00000126878,2,3,3,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AIMP1,-0.500469005815802,7.23382796381652,23.5206646388084,1.7563195296705e-06,1.56832893581082e-05,ENSG00000164022,-0.477528413343206,7.53066366829193,28.7747638667761,1.04120439946552e-07,1.13207314705524e-06,ENSG00000164022,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
AIMP2,-0.8477424511956,6.85276122085184,39.2204593368372,9.54669014093654e-10,1.74828614166338e-08,ENSG00000106305,-0.919275988398166,7.29331820524721,67.0667478141555,9.24548921014344e-16,3.67057430550425e-14,ENSG00000106305,NA,5,5,6,NA,5,6,6,6,6,unkn,TRUE,0,0
AKAP13,0.641151472200271,6.78345872099113,22.5600010694026,2.81876856320386e-06,2.37310133844485e-05,ENSG00000170776,0.499046297661669,7.09796747475275,19.7132886869893,1.01473248059299e-05,7.15472393096073e-05,ENSG00000170776,3,5,5,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
AKAP17A,1.1674443415382,6.13709267490134,45.2348923910146,5.87081315996686e-11,1.30930758839855e-09,ENSG00000197976,1.1400364123734,6.5766733371205,76.9711631595276,2.66198703284928e-15,9.83393510822466e-14,ENSG00000197976,2,3,3,1,1,NA,1,1,1,1,cis,TRUE,Towards UnRx cis,deepskyblue4
AKIRIN1,-0.51875300563742,7.05357901245703,19.5086419033028,1.28222222690627e-05,9.12545202561254e-05,ENSG00000174574,-0.542825757897264,7.40748913805198,26.9207146066667,2.63544031458029e-07,2.62119469125824e-06,ENSG00000174574,3,4,4,4,3,4,4,4,NA,3,cis,TRUE,Towards UnRx cis,deepskyblue4
AKR1B1,1.24064366946092,5.97182752605688,48.0424062250351,1.62156788267185e-11,4.02488336718273e-10,ENSG00000085662,1.01554958972811,6.49205708319976,61.6271877856116,5.80700078465505e-12,1.34206240356472e-10,ENSG00000085662,5,4,4,5,NA,NA,6,4,NA,NA,cis,TRUE,Towards UnRx cis,deepskyblue4
AKT1S1,-1.03988849239167,6.13785565191711,39.8743867955334,3.57757284653224e-09,5.66501429652996e-08,ENSG00000204673,-0.645291538741285,6.6068447293184,20.0577987018122,6.00984918821461e-05,0.000343239515387977,ENSG00000204673,3,3,3,3,3,3,3,2,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
AKTIP,0.840764265544751,5.99679570104169,23.4383923972381,3.18783255537391e-06,2.64478557310488e-05,ENSG00000166971,0.123662462085506,6.60088526348889,0.835533659994949,0.360928977022769,0.494168082970973,ENSG00000166971,2,1,1,1,NA,NA,2,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
ALAS1,-0.620043889294785,6.20056118838494,13.9756737723952,0.000211427919412657,0.00106840468531017,ENSG00000023330,-0.307394507372816,6.6477888767869,4.53355410402804,0.0429432469065054,0.0931636131096627,ENSG00000023330,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ALDH3A2,0.758803736412426,6.11563068770287,20.5866724023856,7.49146539954763e-06,5.67688000419883e-05,ENSG00000072210,0.15904510031871,6.68846728408737,1.3838974203059,0.239758192195648,0.363666198942289,ENSG00000072210,3,2,2,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ALG14,-0.847705424834774,6.00638913023915,21.9404542934871,2.4462010094756e-05,0.000160526373600693,ENSG00000172339,-0.866242308804524,6.58443365507722,32.2401926862067,2.1996241228323e-07,2.22238686454693e-06,ENSG00000172339,2,3,3,3,2,3,3,3,NA,2,cis,TRUE,Towards UnRx cis,deepskyblue4
ALG3,-0.602959912310363,6.89972609837234,23.6289365292577,1.66530997235117e-06,1.49595641584088e-05,ENSG00000214160,-0.235197417869907,7.12799713211333,4.63179459599309,0.0316575366302302,0.072794835490998,ENSG00000214160,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ALG6,-0.667769816809023,6.08140032503077,14.4704427979389,0.000452009996253351,0.00206836468575048,ENSG00000088035,-0.385810203375018,6.57149559668001,7.07869119847672,0.0122827323327852,0.0336544052004837,ENSG00000088035,3,4,4,4,3,4,4,4,NA,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ALKBH4,-0.603210510479247,6.23152034338757,13.3248282590685,0.000295685707193828,0.00143929131378519,ENSG00000160993,-0.556665673175903,6.72419893027775,16.1503734295027,6.35411298348951e-05,0.000360594027437886,ENSG00000160993,NA,4,4,5,NA,NA,6,5,NA,NA,unkn,TRUE,0,0
ANAPC15,0.614406047222372,6.38420030372096,16.2669226003247,6.55903329024631e-05,0.000385749934367619,ENSG00000110200,0.174788702477211,6.87953608309633,2.19550301384647,0.138773884492902,0.238339351432074,ENSG00000110200,3,3,3,2,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ANK3,0.60555395162371,6.84204918225691,17.7722080197117,3.06402568009541e-05,0.000196909592267851,ENSG00000151150,-0.431330370543127,7.50741123544623,15.8863979969605,7.28638787373372e-05,0.000406508216769005,ENSG00000151150,NA,5,5,5,5,5,5,5,5,5,unkn,FALSE,0,0
ANKRD28,0.533533903607984,6.43031396756922,12.3993373234654,0.000477587627749501,0.00216888332964869,ENSG00000206560,0.248531718606068,6.87912635902474,4.23038871199564,0.0400022146877325,0.0879056477106624,ENSG00000206560,5,4,4,4,5,NA,5,4,5,5,trans,TRUE,Towards UnRx trans,deepskyblue
ANKRD36,0.569062821914242,6.65807336765514,11.1195980876339,0.0009317236233666,0.00385083937914361,ENSG00000135976,1.30181960842394,6.79260083421167,107.927999722306,6.40202270388538e-24,5.72472460100704e-22,ENSG00000135976,4,4,4,4,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
ANKRD49,0.586267248952169,6.24062022743767,12.1548882535688,0.00054234588602045,0.00242147494204373,ENSG00000168876,0.284398358884309,6.72523009825628,4.41566328130226,0.0422100109043827,0.0919547778536279,ENSG00000168876,4,3,3,NA,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
ANKRD9,-0.669418857168319,6.40731006491158,19.2371850981374,1.46861791287646e-05,0.00010265513882868,ENSG00000156381,-0.638893412299727,6.86980836848806,22.5208796228967,2.42699710930675e-06,1.96293392576897e-05,ENSG00000156381,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
