gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,cnchange.x,color.x,mlog10FDR.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,cnchange.y,color.y,mlog10FDR.y,A,B,C,D,E,F,G,H,I,J,K,ct,col,label,color
MICU1,0.862430510382537,6.51540839219807,24.9745328816153,1.99985557573946e-05,0.000105236965283138,ENSG00000107745,0.00956836462006105,blue,3.97783168414953,0.744796692642771,6.51874227066149,26.1205374020939,5.55099431760772e-06,2.60029212875883e-05,ENSG00000107745,0,black,4.58497785865183,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
MKRN1,-0.639670337942606,8.07513342434203,34.699188196822,8.54347516611083e-09,8.50613864224865e-08,ENSG00000133606,-0.66105635836415,blue,7.07026754296307,-0.0983752135588479,7.84788959651813,1.02389939727554,0.312010175495492,0.411231115051681,ENSG00000133606,0,black,0.385914032670333,3,3,3,3,3,3,4,3,NA,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
MMP7,-1.17694616994,8.64593974048024,16.8079136899755,5.07062625023797e-05,0.00024155640181023,ENSG00000137673,-0.0662167541068799,blue,3.61698144820431,-2.59700542818503,9.9444594300779,70.5518924016793,3.34200089024326e-16,5.42528002925862e-15,ENSG00000137673,0,black,14.2655778405166,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MOB2,-0.734732811422543,6.62705827149335,17.2865678103021,3.98436500274519e-05,0.000193984232000404,ENSG00000182208,-0.27853152613471,blue,3.71223357024259,-0.684662054380666,6.66450420618856,18.5447915559443,1.94316291569461e-05,8.22459172254315e-05,ENSG00000182208,0,black,4.08488565168164,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
MOSPD3,-1.33651385692869,6.87863336626804,55.0014634276298,8.06218147138453e-13,1.39708406437012e-11,ENSG00000106330,-0.70634843974448,blue,10.8547774610342,-1.60807019204776,7.05803123682467,112.385442694081,3.71548507760355e-24,1.06495091036812e-22,ENSG00000106330,-1,blue,21.9726704108615,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
MRPL15,-0.975750697641506,8.36775621047402,91.492975650842,1.51417437035588e-19,4.78726313174556e-18,ENSG00000137547,-1.04370894836179,blue,17.3199127008814,0.481056518243129,7.64914438111643,24.3055223174659,1.06957489280515e-06,5.68703821264283e-06,ENSG00000137547,1,blue,5.24511385360397,2,2,2,2,1,2,3,2,2,2,2,cis,FALSE,Away from UnRx cis,darkred
MRPL21,0.791049375577362,7.32622111450515,38.2555570975721,1.61935366761868e-09,1.78428357174598e-08,ENSG00000197345,-0.01936195028247,blue,7.74853612313381,1.01177325175466,7.18689143484105,79.5810846561479,5.77897929883591e-18,1.1042666276859e-16,ENSG00000197345,0,black,15.956926052556,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MRPL23,0.942110003672004,6.73933346993362,33.0473019397335,1.86156874790177e-08,1.75422281280379e-07,ENSG00000214026,-0.27853152613471,blue,6.75591524550503,0.541922000998732,6.77961003518581,15.1554735626219,0.000110300811190369,0.000403380797543089,ENSG00000214026,0,black,3.3942847796968,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
MRPL41,1.45549184140404,7.78309901246794,148.853458550044,4.47296423533418e-29,2.83996565302447e-27,ENSG00000182154,0.0254454348553299,blue,26.5466869123446,1.82836727226399,7.50393084905204,317.559437864559,3.62918134983307e-57,3.78259674325783e-55,ENSG00000182154,0,black,54.4222099556972,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MRPS2,-1.11603209390452,7.2684254586447,53.8021109316817,1.37406940466248e-12,2.29882108175282e-11,ENSG00000122140,-0.0737935523084201,blue,10.6384948287443,-0.917061511592167,7.27410429161283,47.7253798434096,1.27234120127906e-11,1.35068443265411e-10,ENSG00000122140,0,black,9.86944610557863,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
