,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
155,ATG2A,ENSG00000110046,0.134042522607875,0.451026054401075,0.939143972819218,7.90770597707278e-49,cis,Activated,Pt4,X5,1
156,ATG2B,ENSG00000066739,0.169256400333473,0.359856608642205,0.504975110487831,8.54113891537906e-14,trans,Activated,Pt4,X5,1
157,ATG3,ENSG00000144848,0.0337633051719222,0.825317511790884,-0.560278913372568,5.1149599845104e-45,cis,Repressed,Pt4,X5,1
158,ATG9B,ENSG00000181652,-0.0677588844786939,0.762917575482232,0.746926770325277,2.75725262692573e-29,cis,Activated,Pt4,X5,1
159,ATL3,ENSG00000184743,0.140282873030477,0.331142762486736,0.921718162065017,1.23676427090567e-64,cis,Activated,Pt4,X5,1
160,ATM,ENSG00000149311,-0.0787381893574679,0.525328988733324,0.60850834344872,4.37088300325972e-42,trans,Activated,Pt4,X5,1
161,ATP11A,ENSG00000068650,0.201079281577302,0.172362597942348,1.02108930593939,6.15152514931624e-71,cis,Activated,Pt4,X5,1
162,ATP11B,ENSG00000058063,0.0424285757576745,0.810198702445758,1.03160738462608,5.79308238591253e-70,trans,Activated,Pt4,X5,1
163,ATP13A2,ENSG00000159363,0.157203964046999,0.315475042033511,0.509733372858112,6.65448204754769e-19,trans,Activated,Pt4,X5,1
164,ATP13A3,ENSG00000133657,0.16011022825369,0.258690390319757,0.770844378656018,6.14390853243086e-48,trans,Activated,Pt4,X5,1
165,ATP23,ENSG00000166896,-0.166815429005153,0.373792252906507,-0.721780315896998,6.54314320819297e-37,cis,Repressed,Pt4,X5,1
166,ATP2C1,ENSG00000017260,0.142914922824901,0.446945639573161,-0.514276484048844,8.5735667200072e-21,trans,Repressed,Pt4,X5,1
167,ATP6AP1,ENSG00000071553,0.0803848126881261,0.62323209607011,0.539314640375469,5.87047658322425e-22,trans,Activated,Pt4,X5,1
168,ATP6AP2,ENSG00000182220,-0.0810676295712026,0.308401707131289,0.719885434090705,1.27938956714337e-116,trans,Activated,Pt4,X5,1
169,ATP6V0A1,ENSG00000033627,-0.216363934349044,0.102363439458004,0.943981278603912,1.715340048572e-63,cis,Activated,Pt4,X5,1
170,ATP6V1C1,ENSG00000155097,-0.11765135444176,0.564927755188879,-1.19998725067789,1.51654673635897e-121,cis,Repressed,Pt4,X5,1
171,ATRN,ENSG00000088812,-0.0200622239148937,0.9573014802747,0.685502095737352,4.24379983514683e-34,cis,Activated,Pt4,X5,1
172,AUH,ENSG00000148090,0.249428014135999,0.142480047486213,0.90897784033795,5.99798485153237e-44,trans,Activated,Pt4,X5,1
173,AUTS2,ENSG00000158321,-0.00816933087792717,0.967337382521097,0.888750904610467,8.44800934271259e-60,cis,Activated,Pt4,X5,1
174,AZIN1,ENSG00000155096,-0.0953086818771653,0.550024538167809,-0.804300301669981,4.10858555015062e-60,cis,Repressed,Pt4,X5,1
175,B3GAT2,ENSG00000112309,-0.0995580573428031,0.501201263251541,0.578370683885346,5.46840055449762e-28,cis,Activated,Pt4,X5,1
176,B4GAT1,ENSG00000174684,-0.10261057453311,0.463554501836136,0.581488099576876,5.02165795563997e-30,cis,Activated,Pt4,X5,1
177,BAALC,ENSG00000164929,-0.132133685176755,0.512409987782521,-0.571705033363942,1.0404065071657e-20,cis,Repressed,Pt4,X5,1
178,BABAM1,ENSG00000105393,-0.144300614795176,0.332355237813238,-0.540185099559511,1.88761759006111e-26,trans,Repressed,Pt4,X5,1
179,BACH1,ENSG00000156273,-0.00469407002640489,0.980849269188777,0.573162207661673,6.36562136306816e-31,cis,Activated,Pt4,X5,1
180,BACH1,ENSG00000156273,-0.00469407002640489,0.980849269188777,0.573162207661673,6.36562136306816e-31,cis,Activated,Pt4,X5,1
181,BAD,ENSG00000002330,0.0511854518837331,0.648372673294462,1.6621420338305,3.53046978576063e-276,cis,Activated,Pt4,X5,1
182,BAHCC1,ENSG00000266074,0.149473408197494,0.403778018478426,0.713362315761216,6.7245630355905e-34,cis,Activated,Pt4,X5,1
183,BAIAP2,ENSG00000175866,-0.153240302934322,0.345867649514782,0.515536782489329,1.77637358137544e-19,cis,Activated,Pt4,X5,1
184,BARX1,ENSG00000131668,-0.126471661173189,0.136683241236524,3.72151046988305,0,trans,Activated,Pt4,X5,1
185,BAZ1B,ENSG00000009954,0.0758443027745985,0.419406644430163,1.03966669625798,4.13401704614849e-167,cis,Activated,Pt4,X5,1
186,BAZ2B,ENSG00000123636,0.127724025833023,0.36124068984769,1.10818260834324,3.54133903897691e-90,trans,Activated,Pt4,X5,1
187,BBS4,ENSG00000140463,0.207463914257609,0.159973422516193,0.558597435435501,1.20144534280571e-23,cis,Activated,Pt4,X5,1
188,BBS7,ENSG00000138686,0.0941112791791128,0.568687860287504,0.95222096424669,4.20033490747233e-61,cis,Activated,Pt4,X5,1
