gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
SMURF1,ENSG00000198742,0.0990341807810834,0.65542616126738,-0.631006034691432,1.14173417309446e-06,Repressed
SNX13,ENSG00000071189,-0.196287549363541,0.277261479029738,-0.59914009280915,8.07994613395276e-07,Repressed
SOCS5,ENSG00000171150,0.0342839699107163,0.913365531346644,-0.534207808610133,0.000285224538743804,Repressed
SORD,ENSG00000140263,0.185015301981719,0.284621944414762,0.511398177120185,3.38159157801046e-05,Activated
SPACA9,ENSG00000165698,-0.0727475109873779,0.811594808494509,-0.533704003559294,0.000157159360940543,Repressed
SPTSSA,ENSG00000165389,0.13417494434639,0.272933860342422,0.71966199564945,5.64101597264049e-17,Activated
SPTY2D1,ENSG00000179119,-0.014429170103313,0.942997010766649,-0.585483943691755,6.42900578703033e-08,Repressed
SQLE,ENSG00000104549,-0.0353556394825489,0.845663443371098,0.52876356390946,2.81197293393933e-07,Activated
SRM,ENSG00000116649,-0.0122286725761154,0.946407020801996,0.549504592081004,7.77483667689469e-11,Activated
SS18L2,ENSG00000008324,-0.0740419200228356,0.533490753075013,0.615936591223456,8.59541031774923e-15,Activated
SSBP3,ENSG00000157216,0.216696832156036,0.258105520579657,-0.70310053423753,1.78947873026248e-07,Repressed
STAT5A,ENSG00000126561,-0.243822581467771,0.183538251225628,-0.551411011692902,1.32815292882889e-05,Repressed
STRIP1,ENSG00000143093,0.251005982758405,0.291515300596753,-0.610135014979905,0.000115853416219136,Repressed
SULT2B1,ENSG00000088002,0.158102659612254,0.425147766458615,0.540803262958672,3.60793167814004e-05,Activated
SUMF2,ENSG00000129103,0.0141654711265075,0.951587484929984,-0.603125900463515,2.48300356094074e-09,Repressed
SYNGR1,ENSG00000100321,-0.0246076652257663,0.951587484929984,0.620559198487778,2.0062113226044e-07,Activated
SZT2,ENSG00000198198,-0.021761938742213,0.93898430020348,-0.655313508330374,1.26718178597e-05,Repressed
