gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
NIP7,-0.00598287192482535,7.69100758550988,0.022190499039817,0.881587455622513,0.938222354638663,ENSG00000132603,-1.01888950077522,7.65761213943254,440.113265727045,2.2849133093771e-92,6.74122194206034e-91,ENSG00000132603,2,2,2,2,3,3,2,2,trans,TRUE,Repressed trans,deepskyblue
NKTR,-0.0255812436169507,8.27937189373772,0.50210436391989,0.478610007398919,0.645649124436423,ENSG00000114857,0.900770393961716,8.09657979575302,285.061805279292,1.20673690098814e-61,1.80019495181225e-60,ENSG00000114857,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
NLE1,0.00182945180929847,7.40380081490921,0.00492776566228175,0.944038839750152,0.976617188525374,ENSG00000073536,-0.663509211127056,7.26246697898619,136.901871812894,2.16815951600618e-24,1.05492803341813e-23,ENSG00000073536,3,3,3,3,3,3,3,3,trans,FALSE,Repressed trans,deepskyblue
NLK,-0.037635812543341,7.41495863551717,0.661730113543342,0.476866838456642,0.644509935478584,ENSG00000087095,0.621496485950926,7.22292494594666,98.321343211025,1.39999431505089e-16,4.77875730826508e-16,ENSG00000087095,3,3,3,3,3,3,3,3,trans,FALSE,Activated trans,coral2
NME7,0.0448040323856552,8.06592387124263,1.4493984969625,0.228681543115107,0.395840703019336,ENSG00000143156,-0.680702174547834,8.05904369804293,257.906799140227,3.90014303900252e-56,5.13953415552196e-55,ENSG00000143156,NA,NA,NA,NA,8,8,8,NA,unkn,FALSE,0,0
NMI,0.0114997161150576,7.36599965421029,0.0849258770953638,0.81268767626182,0.89453213763742,ENSG00000123609,-0.664713593309899,7.21579725970715,148.566103228845,2.71786604117644e-22,1.21575620499558e-21,ENSG00000123609,NA,NA,3,3,3,3,3,NA,unkn,FALSE,0,0
NMT1,0.0337381683842863,7.66639091017058,0.533977703780909,0.464973608549138,0.633764466740294,ENSG00000136448,0.595316298198845,7.49309736284026,90.0740702591156,4.00607065797969e-21,1.69230454060756e-20,ENSG00000136448,4,NA,3,3,3,3,3,NA,cis,TRUE,Activated cis,darkred
NOC2L,-0.0351278096604338,7.9699869919416,0.817048888209679,0.366088008936248,0.544006400218482,ENSG00000188976,-0.910930921270288,7.9696406776471,449.799343704796,3.01579873247769e-94,9.13018282930501e-93,ENSG00000188976,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
NOL10,-0.0408580972460205,7.85668338270853,0.950282448848711,0.3296946200578,0.506716607780889,ENSG00000115761,-0.776197627099513,7.81681465835054,273.952784431981,2.14130765231716e-59,3.00561728652518e-58,ENSG00000115761,NA,NA,NA,NA,3,3,3,NA,unkn,TRUE,0,0
NOP16,0.0801257788975753,7.64892459915335,2.83137112318058,0.0925019072084726,0.208207455553981,ENSG00000048162,-1.8037141912774,7.74533070056119,1526.21100826857,2.45225495339375e-279,6.49076853949707e-277,ENSG00000048162,2,2,2,2,2,2,2,2,trans,FALSE,Repressed trans,deepskyblue
NPEPPS,-0.0684151166375072,7.97130139053169,3.08597695102808,0.0790310973258473,0.185687227915543,ENSG00000141279,0.532689505649156,7.80039980870784,96.6004529725421,1.60797572509971e-22,7.26293862375606e-22,ENSG00000141279,4,NA,3,3,3,3,3,NA,cis,FALSE,Activated cis,darkred
NPNT,0.0654227184322643,7.43600947036941,1.69843304119774,0.265805034255773,0.437286100999924,ENSG00000168743,1.19610403115279,7.23817342610598,329.845664502982,2.72531740921187e-54,3.44438478566695e-53,ENSG00000168743,2,2,2,2,2,2,2,3,trans,TRUE,Activated trans,coral2
NPTX2,0.0460213424623703,7.39397815697148,0.926133538936181,0.410207033991484,0.586248260350491,ENSG00000106236,0.643599090019325,7.20567034170114,103.429243893362,1.38257104735814e-17,4.95479233374307e-17,ENSG00000106236,3,3,3,2,2,2,2,3,cis,TRUE,Activated cis,darkred
NRIP1,0.10979050106762,7.42053311968587,5.3350643831256,0.0397944863795638,0.111446078857517,ENSG00000180530,-0.548294188897818,7.28501587201898,83.671507179687,2.61110428496534e-17,9.24312957429074e-17,ENSG00000180530,3,3,3,3,3,3,3,2,trans,FALSE,Repressed trans,deepskyblue
NRM,0.091635421950193,7.5266369866875,3.46350095560255,0.0627960600544842,0.157082819395749,ENSG00000137404,0.793874502858986,7.34378638359909,135.092889799955,1.08342751587376e-30,6.77709149699829e-30,ENSG00000137404,NA,NA,NA,NA,4,4,NA,NA,unkn,TRUE,0,0
NRXN2,0.10481991736606,7.43613838485683,4.48504320647561,0.0744534974345238,0.17807335982095,ENSG00000110076,0.594230005785995,7.25544627485986,82.4531139995317,4.7601397255839e-16,1.57943891181265e-15,ENSG00000110076,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
NSD3,-0.0416101001579614,8.54517878169234,1.99827921442128,0.157540218473693,0.306563860745197,ENSG00000147548,0.934065075791255,8.36409108881509,434.082330310408,3.39931904441146e-91,9.87187825311214e-90,ENSG00000147548,NA,NA,NA,2,2,2,2,NA,unkn,FALSE,0,0
NSUN2,0.0178159838607705,7.39962600894405,0.154618988020336,0.742391182935503,0.845123200129202,ENSG00000037474,-0.729178884022301,7.26344683844031,164.023288248665,1.59996721099273e-28,9.30451741534e-28,ENSG00000037474,2,2,2,2,2,2,2,1,trans,FALSE,Repressed trans,deepskyblue
NT5DC1,0.0461169779185207,7.49947798689462,0.893268590266317,0.37649071657132,0.553020789442953,ENSG00000178425,-0.579755557524495,7.38084350985176,102.65685882503,8.19225565060376e-24,3.90597304926367e-23,ENSG00000178425,3,NA,3,3,3,3,4,NA,cis,FALSE,Repressed cis,deepskyblue4
NUDT15,0.0560743434343568,7.38710055037667,1.37129042229654,0.419489264560146,0.594890428091954,ENSG00000136159,-0.938464818989473,7.26353016582224,292.122696213368,1.08836709183305e-48,1.17650323672595e-47,ENSG00000136159,2,2,2,2,2,2,2,NA,trans,FALSE,Repressed trans,deepskyblue
NUDT3,-0.0364885366408933,8.20067806186081,1.07613346739768,0.29961435502813,0.474486942742867,ENSG00000272325,0.975932991798054,8.01147382467892,343.361369272799,2.43193357128552e-73,4.77318487381125e-72,ENSG00000272325,NA,NA,NA,NA,4,4,4,5,unkn,FALSE,0,0
NUDT4,0.0172004648859293,7.41962691697182,0.11119353687582,0.819215322313854,0.899063502052038,ENSG00000173598,-0.598487754860446,7.28164724123831,103.188381087364,8.51263519328393e-20,3.38024228163662e-19,ENSG00000173598,NA,NA,NA,2,2,2,2,2,unkn,FALSE,0,0
NUFIP1,0.00708126765513564,7.45792310693869,0.0245405660967462,0.875523645920742,0.934780915130449,ENSG00000083635,-0.780465869777117,7.33961405019768,189.096481925985,1.08114909975787e-39,8.88710315896796e-39,ENSG00000083635,2,2,2,2,2,2,2,1,trans,FALSE,Repressed trans,deepskyblue
NUMA1,0.00802076983551788,7.68178261977542,0.0249180432607915,0.874577832847533,0.933969681990903,ENSG00000137497,0.608331920613143,7.50608164401407,90.1375692273358,3.88253364959166e-21,1.64161532313177e-20,ENSG00000137497,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
NUMB,0.0603605815074245,7.48896352051735,1.51787229132255,0.249851953031039,0.419650336880988,ENSG00000133961,0.614917518678056,7.30737665707435,85.9040780033843,1.23245978309693e-18,4.63561000024765e-18,ENSG00000133961,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
NUP133,-0.0108457555073492,7.50202529483276,0.054377764812629,0.815623111797349,0.89660495337068,ENSG00000069248,-0.717192937701255,7.38931182170895,160.000574788019,6.32326730833436e-36,4.66391308474598e-35,ENSG00000069248,NA,NA,NA,4,4,4,4,3,unkn,TRUE,0,0
NUP58,-0.0905650645068076,7.80933703014969,4.28331837008229,0.0385394357844436,0.108747929727109,ENSG00000139496,0.597291599788813,7.62398727160682,99.4369834066156,3.98478781068045e-23,1.84575371390719e-22,ENSG00000139496,2,2,2,2,2,2,2,3,trans,FALSE,Activated trans,coral2
NUP93,-0.067015891405129,7.52856241858869,1.92185964819479,0.185434386021819,0.344414474902678,ENSG00000102900,-0.642457512397491,7.41007888381271,129.249057428679,1.85636026743918e-29,1.11743479646242e-28,ENSG00000102900,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
NUTF2,-0.0110818055600876,7.5942227948785,0.0412069670420589,0.964808155462363,0.987257867783516,ENSG00000102898,-0.667618979083304,7.49523975757403,150.152915825592,7.3359253629413e-34,5.06031366807805e-33,ENSG00000102898,2,2,2,2,3,3,2,2,trans,TRUE,Repressed trans,deepskyblue
OAZ2,-0.00908420395233512,7.96104366361453,0.0482593224789456,0.82612932317654,0.902085228387782,ENSG00000180304,0.675790482030141,7.788413628218,148.832020992392,1.38945339373348e-33,9.5135966293769e-33,ENSG00000180304,NA,NA,NA,NA,2,2,2,NA,unkn,FALSE,0,0
OGFOD3,0.00248165468135654,7.51491213517994,0.00210735331383431,0.983586080897028,0.995870225043765,ENSG00000181396,0.614150145944813,7.33049926482122,85.5281552936194,1.343554157629e-19,5.28746207148474e-19,ENSG00000181396,NA,NA,3,3,3,3,NA,NA,unkn,TRUE,0,0
